BrachyPanGenome	Brachypodium distachyon Adi-12	15368	359	Brachypodium distachyon Adi-12	BdistachyonAdi_12		v1.1	restricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon Adi-2	15368	372	Brachypodium distachyon Adi-2	BdistachyonAdi_2		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Arn1	15368	355	Brachypodium distachyon Arn1	BdistachyonArn1		v1.1	restricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon Bd1-1	15368	349	Brachypodium distachyon Bd1-1	BdistachyonBd1_1		v1.1	restricted	JGI	JGI	94.1
BrachyPanGenome	Brachypodium distachyon Bd18-1	15368	362	Brachypodium distachyon Bd18-1	BdistachyonBd18_1		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Bd2-3	15368	353	Brachypodium distachyon Bd2-3	BdistachyonBd2_3		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Bd21	15368	283	Brachypodium distachyon Bd21	Bdistachyon	Purple false brome	v2.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Bd21-3	15368	378	Brachypodium distachyon Bd21-3	BdistachyonBd21_3		v1.Bd21-3_r.1	restricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon Bd21AnntCtrl	15368	331	Brachypodium distachyon Bd21AnntCtrl	BdistachyonBd21AnntCtrl		Bd21AnntCtrl	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Bd21AsmbCtrl	15368	361	Brachypodium distachyon Bd21AsmbCtrl	BdistachyonBd21AsmbCtrl		Bd21AsmbCtrl	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Bd29-1	15368	346	Brachypodium distachyon Bd29-1	BdistachyonBd29_1		v1.1	restricted	JGI	JGI	94.7
BrachyPanGenome	Brachypodium distachyon Bd3-1	15368	328	Brachypodium distachyon Bd3-1	BdistachyonBd3_1		v1.1	restricted	JGI	JGI	86.8
BrachyPanGenome	Brachypodium distachyon Bd30-1	15368	344	Brachypodium distachyon Bd30-1	BdistachyonBd30_1		v1.1	restricted	JGI	JGI	97.0
BrachyPanGenome	Brachypodium distachyon BdTR10c	15368	374	Brachypodium distachyon BdTR10c	BdistachyonBdTR10c		v1.1	restricted	JGI	JGI	97.0
BrachyPanGenome	Brachypodium distachyon BdTR11a	15368	380	Brachypodium distachyon BdTR11a	BdistachyonBdTR11a		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR11g	15368	357	Brachypodium distachyon BdTR11g	BdistachyonBdTR11g		v1.1	restricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon BdTR11i	15368	363	Brachypodium distachyon BdTR11i	BdistachyonBdTR11i		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR12c	15368	352	Brachypodium distachyon BdTR12c	BdistachyonBdTR12c		v1.1	restricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon BdTR13a	15368	334	Brachypodium distachyon BdTR13a	BdistachyonBdTR13a		v1.1	restricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon BdTR13c	15368	365	Brachypodium distachyon BdTR13c	BdistachyonBdTR13c		v1.1	restricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon BdTR1i	15368	345	Brachypodium distachyon BdTR1i	BdistachyonBdTR1i		v1.1	restricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon BdTR2b	15368	376	Brachypodium distachyon BdTR2b	BdistachyonBdTR2b		v1.1	restricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon BdTR2g	15368	367	Brachypodium distachyon BdTR2g	BdistachyonBdTR2g		v1.1	restricted	JGI	JGI	95.7
BrachyPanGenome	Brachypodium distachyon BdTR3c	15368	354	Brachypodium distachyon BdTR3c	BdistachyonBdTR3c		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR5i	15368	370	Brachypodium distachyon BdTR5i	BdistachyonBdTR5i		v1.1	restricted	JGI	JGI	96.4
BrachyPanGenome	Brachypodium distachyon BdTR7a	15368	329	Brachypodium distachyon BdTR7a	BdistachyonBdTR7a		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR8i	15368	348	Brachypodium distachyon BdTR8i	BdistachyonBdTR8i		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon BdTR9k	15368	358	Brachypodium distachyon BdTR9k	BdistachyonBdTR9k		v1.1	restricted	JGI	JGI	96.0
BrachyPanGenome	Brachypodium distachyon Bis-1	15368	338	Brachypodium distachyon Bis-1	BdistachyonBis_1		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Foz1	15368	366	Brachypodium distachyon Foz1	BdistachyonFoz1		v1.1	restricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Gaz-8	15368	339	Brachypodium distachyon Gaz-8	BdistachyonGaz_8		v1.1	restricted	JGI	JGI	88.8
BrachyPanGenome	Brachypodium distachyon Jer1	15368	375	Brachypodium distachyon Jer1	BdistachyonJer1		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Kah-1	15368	351	Brachypodium distachyon Kah-1	BdistachyonKah_1		v1.1	restricted	JGI	JGI	89.4
BrachyPanGenome	Brachypodium distachyon Kah-5	15368	342	Brachypodium distachyon Kah-5	BdistachyonKah_5		v1.1	restricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Koz-1	15368	330	Brachypodium distachyon Koz-1	BdistachyonKoz_1		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Koz-3	15368	368	Brachypodium distachyon Koz-3	BdistachyonKoz_3		v1.1	restricted	JGI	JGI	94.7
BrachyPanGenome	Brachypodium distachyon Luc1	15368	347	Brachypodium distachyon Luc1	BdistachyonLuc1		v1.1	restricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Mig3	15368	377	Brachypodium distachyon Mig3	BdistachyonMig3		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Mon3	15368	350	Brachypodium distachyon Mon3	BdistachyonMon3		v1.1	restricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Mur1	15368	373	Brachypodium distachyon Mur1	BdistachyonMur1		v1.1	restricted	JGI	JGI	95.7
BrachyPanGenome	Brachypodium distachyon Per1	15368	326	Brachypodium distachyon Per1	BdistachyonPer1		v1.1	restricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Ron2	15368	360	Brachypodium distachyon Ron2	BdistachyonRon2		v1.1	restricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon S8iic	15368	340	Brachypodium distachyon S8iic	BdistachyonS8iic		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Sig2	15368	371	Brachypodium distachyon Sig2	BdistachyonSig2		v1.1	restricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon Tek-2	15368	341	Brachypodium distachyon Tek-2	BdistachyonTek_2		v1.1	restricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon Tek-4	15368	332	Brachypodium distachyon Tek-4	BdistachyonTek_4		v1.1	restricted	JGI	JGI	82.2
BrachyPanGenome	Brachypodium distachyon Uni2	15368	327	Brachypodium distachyon Uni2	BdistachyonUni2		v1.1	restricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon pangenome	15368	335	Brachypodium distachyon pangenome	BdistachyonPangenome		v1.1	restricted	JGI	JGI	98.7
Panicoideae	Miscanthus sinensis	62337	497	Miscanthus sinensis	Msinensis	Chinese silvergrass	v7.1	restricted	JGI	JGI	97.7
Panicoideae	Panicum hallii	206008	495	Panicum hallii	Phallii	Hall's panicgrass	v3.1	restricted	JGI	JGI	97.4
Panicoideae	Panicum hallii var. hallii	206008	496	Panicum hallii var. hallii	PhalliiHAL	Hall's panicgrass	v2.1	restricted	JGI	JGI	98.0
Panicoideae	Panicum virgatum	38727	450	Panicum virgatum	Pvirgatum	Switchgrass	v4.1	restricted	JGI	JGI	98.0
Panicoideae	Setaria italica	4555	312	Setaria italica	Sitalica	Foxtail millet	v2.2	unrestricted	JGI	JGI	98.7
Panicoideae	Setaria viridis	4556	500	Setaria viridis	Sviridis	Green foxtail	v2.1	restricted	JGI	JGI	98.0
Panicoideae	Sorghum bicolor	4558	454	Sorghum bicolor	Sbicolor	Cereal grass	v3.1.1	unrestricted	JGI	JGI	98.4
Panicoideae	Sorghum bicolor Rio	4558	468	Sorghum bicolor Rio	SbicolorRio	Sorghum Rio	v2.1	restricted	JGI	JGI	97.0
Panicoideae	Zea mays	4577	493	Zea mays	Zmays	Maize	RefGen_V4	restricted	CSHL	CSHL	97.7
Panicoideae	Zea mays PH207	4577	443	Zea mays PH207	ZmaysPH207	Maize PH207	v1.1	unrestricted	UMN	UMN	95.1
