Malcolmia maritima	313683	477	Mmaritima	Virginia stock	v1	JGI	v1.1	JGI	restricted	98.8
Lepidium sativum	33125	478	Lsativum	garden cress	v1	JGI	v1.1	JGI	restricted	98.0
Thlaspi arvense	13288	479	Tarvense	field pennycress	v1	JGI	v1.1	JGI	restricted	97.5
Sinapis alba	3728	480	Salba	white mustard	v1	JGI	v1.1	JGI	restricted	98.2
Cakile maritima	220483	481	Cmaritima	european searocket	v1	JGI	v1.1	JGI	restricted	97.9
Descurainia sophioides	669666	482	Dsophioides	northern tansymustard	v1	JGI	v1.1	JGI	restricted	96.5
Euclidium syriacum	345537	483	Esyriacum	syrian mustard	v1	JGI	v1.1	JGI	restricted	96.7
Cleome violacea	389490	484	Cviolacea	spider plant	v1.0	JGI	v1.1	JGI	restricted	97.6
Iberis amara	190884	485	Iamara	rocket candytuft	v1	JGI	v1.1	JGI	restricted	96.5
Stanleya pinnata	72662	486	Spinnata	Princes Plume	v1	JGI	v1.1	JGI	restricted	71.2
Eruca vesicaria	180536	487	Evesicaria	arugula	v1	JGI	v1.1	JGI	restricted	98.3
Crambe hispanica	70124	488	Chispanica		v1	JGI	v1.1	JGI	restricted	97.8
Diptychocarpus strictus	359840	489	Dstrictus		v1	JGI	v1.1	JGI	restricted	93.9
Brachypodium sylvaticum	29664	490	Bsylvaticum		v1.0	JGI	v1.1	JGI	restricted	97.2
Malus domestica	3750	491	Mdomestica	apple	GDDH13v1.1	AGE	v1.1	AGE	restricted	96.8
Cicer arietinum	3827	492	Carietinum	chickpea	v1.0	CGIAR	v1.0	CGIAR	unrestricted	89.6
Zea mays	4577	493	Zmays	maize	APGv4	CSHL	RefGen_V4	CSHL	unrestricted	95.2
Helianthus annuus	4232	494	Hannuus	sunflower	r1.0	INRA	r1.2	INRA	unrestricted	93.6
Panicum hallii	206008	495	Phallii	Hall's panicgrass	v3.0	JGI	v3.1	JGI	unrestricted	98.1
Panicum hallii HAL	206008	496	PhalliiHAL	Hall's panicgrass	v2.0	JGI	v2.1	JGI	unrestricted	98.9
Miscanthus sinensis	62337	497	Msinensis	Chinese silver grass	v7.0	JGI	v7.1	JGI	unrestricted	97.6
Asparagus officinalis	4686	498	Aofficinalis	garden asparagus	Aspof.V1	UGA	V1.1	UGA	unrestricted	79.0
Oryza sativa Kitaake	4530	499	OsativaKitaake	rice	v3.0	JGI	v3.1	JGI	unrestricted	99.1
Setaria viridis	4556	500	Sviridis	green foxtail millet	v2.0	JGI	v2.1	JGI	unrestricted	99.0
Fragaria vesca	57918	501	Fvesca	strawberry	v2.0.a2	HAU	v2.0.a2	HAU	restricted	95.8
Botryococcus braunii	38881	502	Bbraunii		v2.0	JGI	v2.1	JGI	restricted	22.6
Thinopyrum intermedium	85679	503	Tintermedium	intermediate wheatgrass	v2.0	JGI	v2.1	JGI	restricted	97.4
Dioscorea alata	55571	504	Dalata	yam	v1.0	JGI	v1.1	JGI	unrestricted	79.5
Mimulus guttatus TOL	4155	505	MguttatusTOL	monkey flower	v3.0	JGI	v3.1	JGI	restricted	93.0
Mimulus guttatus NONTOL	4155	506	MguttatusNONTOL	monkey flower	v3.0	JGI	v3.1	JGI	restricted	91.9
Corymbia citriodora	34329	507	Ccitriodora	lemon-scented gum	v2.0	JGI	v2.1	JGI	restricted	95.1
Glycine max	3847	508	Gmax	soybean	v4.0	JGI	Wm82.a4.v1	JGI	unrestricted	97.6
Glycine soja	3848	509	Gsoja	soybean	v1.0	JGI	v1.1	JGI	restricted	96.7
Glycine max Lee	3847	510	GmaxLee	soybean	v1.0	JGI	v1.1	JGI	restricted	97.3
Zea mays PHJ40	4577	512	ZmaysPHJ40	maize	v1.0	JGI	v1.1	JGI	restricted	98.0
Zea mays PHB47	4577	513	ZmaysPHB47	maize	v1.0	JGI	v1.1	JGI	restricted	97.4
Solanum lycopersicum	4081	514	Slycopersicum	tomato	SL3.0	iTAG	ITAG3.2	ITAG	unrestricted	94.5
Brachypodium distachyon Bd30-1	15368	515	BdistachyonBd30-1		v1.0	JGI	v1.1	JGI	restricted	98.1
Panicum virgatum	38727	516	Pvirgatum	switchgrass	v5.0	JGI	v5.1	JGI	restricted	99.4
Salix purpurea Fish Creek	77065	518	SpurpureaFishCreek	shrub willow	v3.0	JGI	v3.1	JGI	restricted	97.2
Salix purpurea	77065	519	Spurpurea	shrub willow	v5.0	JGI	v5.1	JGI	restricted	97.0
Manihot esculenta	3983	520	Mesculenta	cassava	v7	UC Berkeley	v7.1	JGI	restricted	98.1
Sphagnum magellanicum	128215	521	Smagellanicum	magellanic bogmoss	v1.0	JGI	v1.1	JGI	restricted	71.6
Sphagnum fallax	53036	522	Sfallax	flat-topped bogmoss	v1.0	JGI	v1.1	JGI	restricted	71.3
Theobroma cacao	3641	523	Tcacao	cocoa bean	v2.0	JGI	v2.1	JGI	restricted	98.1
Gossypium mustelinum	34275	524	Gmustelinum	cotton	v1.0	JGI	v1.1	JGI	unrestricted	98.3
Gossypium tomentosum	34277	525	Gtomentosum	cotton	v1.0	JGI	v1.1	JGI	unrestricted	98.6
Gossypium barbadense	3634	526	Gbarbadense	cotton	v1.0	JGI	v1.1	JGI	unrestricted	98.2
Gossypium hirsutum	3635	527	Ghirsutum	upland cotton	v2.0	JGI	v2.1	JGI	unrestricted	98.5
Gossypium darwinii	34276	529	Gdarwinii	cotton	v1.0	JGI	v1.1	JGI	unrestricted	98.5
Arachis hypogaea	3818	530	Ahypogaea	peanut	v1.0	PeanutBase	v1.0	PeanutBase	unrestricted	92.8
Cinnamomum kanehirae	337451	531	Ckanehirae	stout camphor tree	v3	BRCAS	v3	BRCAS	unrestricted	89.8
Populus trichocarpa Stettler14	3694	532	PtrichocarpaStettler14	western poplar	v1.0	JGI	v1.1	JGI	restricted	98.3
Populus trichocarpa	3694	533	Ptrichocarpa	western poplar	v4.0	JGI	v4.1	JGI	unrestricted	98.9
Phaseolus vulgaris UI111	3885	534	PvulgarisUI111	common bean	v1.0	JGI	v1.1	JGI	restricted	96.9
Brachypodium distachyon Bd21-3	15368	537	BdistachyonBd21-3		v1.0	JGI	v1.2	JGI	restricted	99.0
Ceratodon purpureus R40	3225	538	CpurpureusR40		v1.0	JGI	v1.1	JGI	restricted	69.0
Ceratodon purpureus GG1	3225	539	CpurpureusGG1		v1.0	JGI	v1.1	JGI	restricted	69.1
Vigna unguiculata	3917	540	Vunguiculata	cowpea	v1.0	UCR	v1.2	JGI	restricted	96.0
Vigna unguiculata Suvita2	3917	541	VunguiculataSuvita2	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.3
Vigna unguiculata UCR779	3917	543	VunguiculataUCR779	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.6
Vigna unguiculata Sanzi	3917	544	VunguiculataSanzi	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.6
Vigna unguiculata CB5-2	3917	545	VunguiculataCB5-2	cowpea	v1.0	UCR	v1.1	JGI	restricted	95.1
Beta vulgaris	161934	548	Bvulgaris	beet	EL10_1.0	MSU	EL10_1.0	MSU	restricted	89.2
Brachypodium distachyon Bd1-1	15368	549	BdistachyonBd1-1		v1.0	JGI	v1.1	JGI	restricted	99.4
Dioscorea alata	55571	550	Dalata	yam	v2.0	UC Berkeley	v2.1	JGI	restricted	94.9
Mimulus guttatus TOL	4155	551	MguttatusTOL	monkey flower	v5.0	JGI	v5.0	JGI	restricted	93.1
Sorghum bicolor RTx430	4558	552	SbicolorRTx430		v2.0	JGI	v2.1	JGI	restricted	99.2
Mimulus guttatus NONTOL	4155	553	MguttatusNONTOL	monkey flower	v4.0	JGI	v4.0	JGI	restricted	91.8
Brachypodium distachyon	15368	556	Bdistachyon	purple false brome	v3.0	JGI	v3.2	JGI	restricted	99.3
Vigna unguiculata TZ30	3917	558	VunguiculataTZ30	cowpea	v1.0	UCR	v1.2	JGI	restricted	95.3
Vigna unguiculata ZN016	3917	559	VunguiculataZN016	cowpea	v1.0	UCR	v1.2	JGI	restricted	95.6
Eleusine coracana	4511	560	Ecoracana	finger millet	v1.0	UGA/MIPS	v1.1	UGA/MIPS	restricted	94.9
Carya illinoinensis Lakota	32201	561	CillinoinensisLakota	pecan	v1.0	JGI	v1.1	JGI	restricted	97.5
Carya illinoinensis Elliott	32201	562	CillinoinensisElliott	pecan	v1.0	JGI	v1.1	JGI	restricted	94.4
Phaseolus lunatus	3884	563	Plunatus	lima bean	v1	Uniandes	V1	Uniandes	restricted	93.7
Sorghum bicolor BTx642	4558	564	SbicolorBTx642		v1.0	JGI	v1.1	JGI	restricted	99.4
Poncirus trifoliata	37690	565	Ptrifoliata	hardy orange	v1.3	JGI	v1.3.1	JGI	unrestricted	97.2
