Solanum lycopersicum	4081	390	Slycopersicum	tomato	v2.5	iTAG	ITAG2.4	iTAG	unrestricted	95.5
Panicum hallii	206008	308	Phallii	Hall's panicgrass	v2.0	JGI	v2.0	JGI	unrestricted	96.6
Chenopodium quinoa	63459	392	Cquinoa	quinoa	v1.0	KAUST	v1.0	KAUST	unrestricted	90.6
Phaseolus vulgaris	3885	442	Pvulgaris	common bean	v2.0	JGI	v2.1	JGI	restricted	96.4
Porphyra umbilicalis	2786	456	Pumbilicalis	seaweed	v1.5	JGI	v1.5	JGI	unrestricted	7.7
Sorghum bicolor	4558	454	Sbicolor	sorghum	v3.0	JGI	v3.1.1	JGI	unrestricted	98.3
Hordeum vulgare	4513	462	Hvulgare	barley	r1	IBSC	r1	IBSC	unrestricted	84.7
Rorippa islandica	157092	473	Rislandica	marsh cress	v1	JGI	v1.1	JGI	restricted	98.1
Amaranthus hypochondriacus	28502	459	Ahypochondriacus	grain amaranth	v2.0	BYU	v2.1	BYU	unrestricted	77.6
Vigna unguiculata	3917	469	Vunguiculata	cowpea	v1.0	UCR	v1.1	JGI	unrestricted	95.9
Lactuca sativa	4236	467	Lsativa	lettuce	v8	UCDavis	V8	UCDavis	unrestricted	92.5
Citrus sinensis	2711	154	Csinensis	sweet orange	v1	JGI	v1.1	JGI	unrestricted	87.2
Medicago truncatula	3880	285	Mtruncatula	barrel medic	Mt4.0	JCVI	Mt4.0v1	JCVI	unrestricted	93.6
Capsella grandiflora	264402	266	Cgrandiflora		v1	JGI	v1.1	JGI	unrestricted	94.6
Boechera stricta	72658	278	Bstricta	Drummond's rockcress	v1	JGI	v1.2	JGI	unrestricted	97.4
Spirodela polyrhiza	29656	290	Spolyrhiza	greater duckweed	v1	MIPS	v2	MIPS	unrestricted	79.6
Salix purpurea	77065	289	Spurpurea	shrub willow	v1.0	JGI/JCVI	v1.0	JGI/JCVI	unrestricted	97.0
Caulanthus amplexicaulis	154096	470	Camplexicaulis	claspingleaf wild cabbage	v1	JGI	v1.1	JGI	restricted	98.8
Myagrum perfoliatum	359867	471	Mperfoliatum	bird's eye cress	v1	JGI	v1.1	JGI	restricted	97.6
Alyssum linifolium	457770	472	Alinifolium		v1	JGI	v1.1	JGI	restricted	98.5
Descurainia sophioides	669666	482	Dsophioides	northern tansymustard	v1	JGI	v1.1	JGI	restricted	96.5
Isatis tinctoria	161756	475	Itinctoria	dyer's woad	v1	JGI	v1.1	JGI	restricted	96.8
Malcolmia maritima	313683	477	Mmaritima	Virginia stock	v1	JGI	v1.1	JGI	restricted	98.8
Lepidium sativum	33125	478	Lsativum	garden cress	v1	JGI	v1.1	JGI	restricted	98.0
